행정동_코드,행정동_명,gu_name,lat,lng,영역_면적
11110515,청운효자동,종로구,37.587168258579474,126.97069369409044,2568432
11110530,사직동,종로구,37.57663585215994,126.97116217443627,1158536
11110540,삼청동,종로구,37.59111698270954,126.98199206220292,1479255
11110550,부암동,종로구,37.59970812904526,126.96433578936102,2274739
11110560,평창동,종로구,37.618431887237314,126.96891381407673,8947328
11110570,무악동,종로구,37.579857765327404,126.95937577170456,369520
11110580,교남동,종로구,37.573813987143765,126.96490334790926,346926
11110600,가회동,종로구,37.585261342224484,126.98733746020463,539955
11110615,종로1?2?3?4가동,종로구,37.57793667532992,126.99064447807247,2417171
11110630,종로5?6가동,종로구,37.57560356283875,127.00519139386499,603167
11110640,이화동,종로구,37.582469115676524,127.00381052850496,782395
11110650,혜화동,종로구,37.590217566896214,126.99821744807,1132421
11110670,창신1동,종로구,37.575116363609936,127.01458715195304,305337
11110680,창신2동,종로구,37.57877471500298,127.01097646465851,257323
11110690,창신3동,종로구,37.581702638782815,127.01401092098662,216835
11110700,숭인1동,종로구,37.57993626050364,127.017678613332,239396
11110710,숭인2동,종로구,37.57724178734615,127.02113079604773,351906
11140520,소공동,중구,37.56700525445975,126.9751616867757,943795
11140540,회현동,중구,37.55968980172562,126.97789187391561,897827
11140550,명동,중구,37.56670071709271,126.98508850922867,969729
11140570,필동,중구,37.55961988150052,126.994563124985,1464686
11140580,장충동,중구,37.558313642619645,127.00294964504025,1017925
11140590,광희동,중구,37.56790914566233,127.00455714486588,737204
11140605,을지로동,중구,37.56936871194541,126.9973467785715,611524
11140615,신당동,중구,37.56844005470605,127.0144954318426,534942
11140625,다산동,중구,37.55769172156903,127.00915166860052,523971
11140635,약수동,중구,37.55289831338631,127.01107504557945,486369
11140645,청구동,중구,37.55962821106547,127.01597654525,342571
11140650,신당5동,중구,37.56638462223171,127.02265600062293,319706
11140665,동화동,중구,37.56345694055826,127.01944073229471,327045
11140670,황학동,중구,37.571286175621175,127.02163861814765,328640
11140680,중림동,중구,37.56009251328,126.96682279599246,484384
11290575,동선동,성북구,37.59639702676887,127.01930142432886,724957
11290580,돈암1동,성북구,37.60250466029844,127.02519154902832,488898
11290590,돈암2동,성북구,37.59983061401675,127.01238330036873,518335
11290600,안암동,성북구,37.59047592691155,127.0280070526656,1379571
11290610,보문동,성북구,37.58557610471884,127.01992154930943,553006
11290620,정릉1동,성북구,37.60602875718853,127.01777485497344,412365
11290630,정릉2동,성북구,37.606426052861096,127.00929254475814,1094889
11290640,정릉3동,성북구,37.614850328047396,126.99537347300671,3327126
11290650,정릉4동,성북구,37.62669823351765,126.99568968255947,3570914
11290660,길음1동,성북구,37.61097473744639,127.02052806469794,797310
11290685,길음2동,성북구,37.61103637825311,127.0279463883725,588002
11290705,종암동,성북구,37.60018685551011,127.03465769224977,1404527
11290715,월곡1동,성북구,37.610583411704695,127.03733514403244,801757
11290725,월곡2동,성북구,37.60597637449974,127.046189001823,1364901
11290760,장위1동,성북구,37.617851588499285,127.04544854288295,708546
11290770,장위2동,성북구,37.61510068190429,127.05268441548407,679894
11290780,장위3동,성북구,37.621010429338234,127.05424028767413,652601
11290810,석관동,성북구,37.61102376341246,127.06214987272567,1705061
11305534,삼양동,강북구,37.62655336688294,127.01571762445687,924092
11305535,미아동,강북구,37.63138968965001,127.0271719095472,841204
11305545,송중동,강북구,37.62042315143403,127.03377183179913,1075796
11305555,송천동,강북구,37.620938640922624,127.0256957873581,929913
11305575,삼각산동,강북구,37.61991294294196,127.0173134697809,621911
11305595,번1동,강북구,37.640308375149026,127.03140110383329,627036
11305603,번2동,강북구,37.632234495629,127.03553291112195,974298
11305608,번3동,강북구,37.62643882278599,127.04297276436701,1081177
11215840,자양3동,광진구,37.53411912919992,127.07180630438329,1196419
11215847,자양4동,광진구,37.5365019221107,127.06440893731383,1180023
11215850,구의1동,광진구,37.544254447633755,127.08677497404713,565313
11215860,구의2동,광진구,37.5538522723921,127.09564711614108,1388041
11215870,구의3동,광진구,37.53970720883702,127.09501833022186,1027561
11230536,용신동,동대문구,37.57831132784529,127.03324422847007,1618399
11230545,제기동,동대문구,37.58649991284576,127.03801424100166,1181705
11230560,전농1동,동대문구,37.581971921085625,127.05174471483255,1126695
11230570,전농2동,동대문구,37.583444774267036,127.06191239240209,977568
11230600,답십리1동,동대문구,37.57402482223398,127.0526676217719,788242
11230610,답십리2동,동대문구,37.573533966501984,127.0618251487491,875745
11230650,장안1동,동대문구,37.56898892533896,127.06931485456074,1342167
11230660,장안2동,동대문구,37.57839313939844,127.07286676306546,996640
11230705,청량리동,동대문구,37.59158773947909,127.04599923772753,1204398
11305615,수유1동,강북구,37.63248229666745,127.0108020031644,1649963
11305625,수유2동,강북구,37.648167203301355,127.02015227424346,581617
11305635,수유3동,강북구,37.6432471580875,127.0242300432014,745645
11305645,우이동,강북구,37.66309782689184,127.00127428439048,10587752
11305660,인수동,강북구,37.64014994919453,127.00433348174656,2998011
11320511,창1동,도봉구,37.649836721354454,127.04433421908297,1122171
11170510,후암동,용산구,37.55265371924464,126.98140230953824,865892
11170520,용산2가동,용산구,37.54066219710241,126.98586364461713,1966853
11170530,남영동,용산구,37.54677812858186,126.97561013091739,1177788
11170555,청파동,용산구,37.550335023826264,126.96763078850162,886225
11170560,원효로1동,용산구,37.540243832779275,126.96734116713648,589017
11170570,원효로2동,용산구,37.536598901448734,126.95324509595179,708975
11170580,효창동,용산구,37.545557927717056,126.96172613056252,446197
11170590,용문동,용산구,37.54072776643762,126.9592959686777,277531
11170625,한강로동,용산구,37.53187417902722,126.96938144874511,2869816
11170630,이촌1동,용산구,37.51792759605311,126.97254335938726,2872767
11170640,이촌2동,용산구,37.52560747801656,126.95499433960491,1205543
11170650,이태원1동,용산구,37.53611298353498,126.9940335353872,582899
11170660,이태원2동,용산구,37.54451015285521,126.99284455912664,874243
11170685,한남동,용산구,37.54027572430541,127.00595907683582,3031897
11170690,서빙고동,용산구,37.52238147716414,126.98970231629306,2821948
11170700,보광동,용산구,37.52963507578024,127.0016933156299,715096
11200520,왕십리2동,성동구,37.56420303450547,127.02851840230421,372425
11200535,왕십리도선동,성동구,37.56959951299329,127.03038804842267,710285
11200540,마장동,성동구,37.570163932337245,127.04139079046011,1035276
11200550,사근동,성동구,37.560873023285396,127.04618469799816,1169216
11200560,행당1동,성동구,37.56184021080035,127.0369609343646,573566
11200570,행당2동,성동구,37.55942733632878,127.03044071272332,457669
11200580,응봉동,성동구,37.553632902774716,127.03451258221226,553662
11200590,금호1가동,성동구,37.556337993783956,127.0257654416403,444872
11200615,금호2?3가동,성동구,37.55414950878592,127.02076259777878,631196
11200620,금호4가동,성동구,37.54813914328942,127.02494802379915,832333
11200645,옥수동,성동구,37.54359880067687,127.0213709199993,1922027
11200650,성수1가1동,성동구,37.54353910628129,127.04305129292847,1885875
11200660,성수1가2동,성동구,37.551764662287184,127.044436492435,930086
11200670,성수2가1동,성동구,37.53910091636333,127.05609476308835,1184964
11200690,성수2가3동,성동구,37.54831674684769,127.05887394147528,1054501
11200720,송정동,성동구,37.554258634038725,127.06776238857302,681916
11200790,용답동,성동구,37.561669717493984,127.0582616755115,2377148
11215710,화양동,광진구,37.5460198011436,127.07418248150543,1166008
11215730,군자동,광진구,37.55579535664188,127.0744975388378,738025
11215740,중곡1동,광진구,37.564847771057686,127.0784792189714,614505
11215750,중곡2동,광진구,37.561662588845095,127.08536871485909,545542
11215760,중곡3동,광진구,37.57066525255467,127.08280926962088,601866
11215770,중곡4동,광진구,37.566628583791854,127.095289664687,2313468
11215780,능동,광진구,37.55333939457074,127.08257542664188,1092105
11215810,광장동,광진구,37.55057341234431,127.10549966648368,2393761
11215820,자양1동,광진구,37.53833879060146,127.0812466872209,568868
11215830,자양2동,광진구,37.53185007191471,127.08353645598241,1657523
11230710,회기동,동대문구,37.596468532459376,127.05229798206321,766917
11230720,휘경1동,동대문구,37.594706319055135,127.0633935057506,521796
11230730,휘경2동,동대문구,37.58938877749643,127.06661598177642,1113609
11230740,이문1동,동대문구,37.60012234258253,127.06123510539362,1039602
11230750,이문2동,동대문구,37.60559652878938,127.0683061778838,723890
11260520,면목2동,중랑구,37.59203944433936,127.07863175982493,763122
11260540,면목4동,중랑구,37.57636614253959,127.08616630620904,843466
11260550,면목5동,중랑구,37.58527236708182,127.07966638064495,704936
11260565,면목본동,중랑구,37.59106729063428,127.09016851873794,849019
11260570,면목7동,중랑구,37.57989245680957,127.09358551310164,1236134
11260575,면목3?8동,중랑구,37.58724003489961,127.09914236664116,1614117
11260580,상봉1동,중랑구,37.60447387869002,127.09022972337382,854219
11260590,상봉2동,중랑구,37.59707174836305,127.08480828269458,677445
11260600,중화1동,중랑구,37.60534343308686,127.08386622108769,641493
11260610,중화2동,중랑구,37.60193404698073,127.07582222534563,1016955
11260620,묵1동,중랑구,37.61647994169057,127.08332350232656,1238436
11260630,묵2동,중랑구,37.61357499044259,127.07541474178608,669204
11260655,망우본동,중랑구,37.604882432794646,127.10823652005344,2948109
11260660,망우3동,중랑구,37.59463332517333,127.10362467592081,962561
11260680,신내1동,중랑구,37.619223323319005,127.11121333335853,2606949
11260690,신내2동,중랑구,37.613734333927795,127.09238134867857,911281
11290525,성북동,성북구,37.599434496823655,126.99492178520168,2879912
11290555,삼선동,성북구,37.58930710802287,127.01249499439643,926227
11320681,쌍문4동,도봉구,37.65817477459998,127.03120427136082,554868
11320690,방학1동,도봉구,37.66779316376665,127.04426519091514,1040857
11320700,방학2동,도봉구,37.67193204390705,127.03347673159858,1092814
11320710,방학3동,도봉구,37.665942694363466,127.02435029543732,1951026
11350560,월계1동,노원구,37.62463914418444,127.05902314943296,1107461
11350570,월계2동,노원구,37.63672444285829,127.05208744214778,2004785
11350580,월계3동,노원구,37.62716754723631,127.0655274303992,1168283
11350595,공릉1동,노원구,37.626964833352424,127.0733436287794,1263261
11350600,공릉2동,노원구,37.634373645286324,127.09510282115899,6983449
11350611,하계1동,노원구,37.64126179426326,127.07586137406717,1527061
11350612,하계2동,노원구,37.63779896873548,127.06575181358512,500023
11350619,중계본동,노원구,37.65138136083956,127.0868066299353,2183234
11350621,중계1동,노원구,37.65289424983738,127.07449046252245,623451
11350624,중계4동,노원구,37.66211444533958,127.08330554858688,1519449
11350665,상계3?4동,노원구,37.67852896550314,127.0850126132639,5211708
11350670,상계5동,노원구,37.6687626314417,127.07078830344138,906891
11350695,상계6?7동,노원구,37.651415268300276,127.06089086928465,1450295
11350700,상계8동,노원구,37.66927570713524,127.05429707740629,666348
11350710,상계9동,노원구,37.670352675612264,127.06296886077075,719445
11350720,상계10동,노원구,37.662471075665025,127.0591769852578,809214
11380510,녹번동,은평구,37.60805656378321,126.93536175189033,1794215
11380520,불광1동,은평구,37.61961836721439,126.93944054176272,3124927
11380530,불광2동,은평구,37.6270277742456,126.92948832177791,1396089
11380551,갈현1동,은평구,37.62794642891785,126.91551973580016,961071
11380552,갈현2동,은평구,37.62072790086293,126.91323997133254,985165
11380560,구산동,은평구,37.61381342007873,126.90809477976003,1389775
11380570,대조동,은평구,37.615005184026366,126.92393872596269,851692
11380580,응암1동,은평구,37.601096528530064,126.92784867825846,1109863
11380590,응암2동,은평구,37.594841025485806,126.9236765831102,755247
11380600,응암3동,은평구,37.59167492799114,126.91833555513554,752773
11380625,역촌동,은평구,37.607322906092755,126.91540758369347,1157542
11380631,신사1동,은평구,37.60188535847005,126.90928742100657,808314
11380632,신사2동,은평구,37.59560368385128,126.90698521744491,1046222
11380640,증산동,은평구,37.58688194590171,126.90672451998104,807409
11380650,수색동,은평구,37.58834084322722,126.8953211975552,1290258
11380690,진관동,은평구,37.64243069958503,126.93860577367731,11565110
11410520,천연동,서대문구,37.57407272409511,126.95744330138488,982817
11410555,북아현동,서대문구,37.5620439101256,126.95580924326838,458945
11410565,충현동,서대문구,37.5666942404367,126.95910021467715,1116001
11410585,신촌동,서대문구,37.566822187370214,126.94235939617997,2720364
11410615,연희동,서대문구,37.57498041019299,126.933579790922,2929172
11410620,홍제1동,서대문구,37.58614970037245,126.94510664536664,1235632
11410640,홍제3동,서대문구,37.59514483643554,126.95251658544252,1192508
11410655,홍제2동,서대문구,37.587135406764446,126.95330305683773,699978
11410660,홍은1동,서대문구,37.603296627130746,126.94767568344042,1615140
11410685,홍은2동,서대문구,37.589918375347466,126.9329208356662,2075085
11410690,남가좌1동,서대문구,37.574564306596926,126.9170640950284,475536
